"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Coca-Cola Company,2,Wells Fargo And Company,Under Armour,"[
  ""Accounting Fraud""
]",1
Coca-Cola Company,3,Dxc Technology Company,Hp Inc,"[
  ""Litigation""
]",25322
Pepsico Inc,3,Ihs Markit Ltd,Sandp Global Inc,"[
  ""Breach""
]",4991823
Coca-Cola Company,2,Intercontinental Exchange,Vivint Solar Inc,"[
  ""Investigation""
]",1
Microsoft Corp,3,Pgande Corp,Sed International Holdings Inc,"[
  ""Investigation"",
  ""Investigation""
]",48960
Microsoft Corp,3,Oncosec Medical Inc,Alpha Holdings Inc,"[
  ""Litigation"",
  ""Litigation""
]",20
Microsoft Corp,3,Ares Capital Corp,Allied Capital Corp,"[
  ""Reorganization""
]",680
Pepsico Inc,3,Fidelity National Financial,Remy International Inc,"[
  ""Breach Of Contract""
]",176
Pepsico Inc,3,F5 Networks Inc,Radware Ltd,"[
  ""Litigation""
]",1374
Pepsico Inc,3,Avon Products Inc,Smart Technologies Inc,"[
  ""Investigation""
]",246
Pepsico Inc,3,Hewlett Packard Enterprise Comp,Eca Marcellus Trust I,"[
  ""Sanctions""
]",796
Alphabet Inc,2,Intercontinental Exchange,United Parcel Service Inc,"[
  ""Breach""
]",1
Alphabet Inc,3,Mercadolibre Inc,Pagnie Financiere Ri,"[
  ""Litigation""
]",112
Jp Morgan Chase And Co,3,Moodys Corp /De/,First Hawaiian Inc,"[
  ""Disruption""
]",732
Microsoft Corp,3,Canadian Pacific Railway Ltd/Cn,Just Energy Group Inc,"[
  ""Bankruptcy""
]",576
Pepsico Inc,3,Jacobs Engineering Group Inc,City Bank,"[
  ""Fraud""
]",130
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Perkinelmer Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Mbia Inc,Allstate Corp,"[
  ""Bankruptcy Protection""
]",5444606
Jp Morgan Chase And Co,3,Talos Petroleum Llc,Landauer Inc,"[
  ""Litigation""
]",58
Morgan Stanley International Holdings Inc,3,Tyson Foods Inc,Conagra Brands Inc,"[
  ""Disruption""
]",116300
Morgan Stanley International Holdings Inc,2,Sandp Global Inc,Google,"[
  ""Investigation""
]",9
Morgan Stanley International Holdings Inc,3,Bluegreen Vacations Corp,Choice Hotels International Inc /De,"[
  ""Litigation""
]",1928
Goldman Sachs Group Inc,3,Delek Logistics Partners Lp,Delek Us Holdings,"[
  ""Breach""
]",352456
Alphabet Inc,2,Google,Intuit Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Regeneron Pharmaceuticals Inc,Pilgrims Pride Corp,"[
  ""Dispute""
]",548
Jp Morgan Chase And Co,2,Berkshire Hathaway Inc,Amex Global Holdings Cv,"[
  ""Bankruptcy""
]",1
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Norfolk Southern Corp,"[
  ""Litigation""
]",4128
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Gap Inc,"[
  ""Investigation""
]",1
Alphabet Inc,2,Google,Las Vegas Sands Corp,"[
  ""Downgrade""
]",1
Jp Morgan Chase And Co,3,Valeant Pharmaceuticals International Inc,Santarus Inc,"[
  ""Breach""
]",153
Jp Morgan Chase And Co,3,Biopharmx Corp,Krystal Biotech Inc,"[
  ""Clinical Trial""
]",36
Jp Morgan Chase And Co,3,News Corp,Smithfield Foods Inc,"[
  ""Litigation"",
  ""Litigation""
]",835
Jp Morgan Chase And Co,3,T-Mobile Us,Metro Inc,"[
  ""Fraud""
]",109590
Jp Morgan Chase And Co,3,Dte Energy Co,Mgm Growth Properties Llc,"[
  ""Investigation""
]",36876
Alphabet Inc,2,Nasdaq Inc,Gossamer Bio Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Verizon Communications Inc,Fairpoint Communications Inc,"[
  ""Bankruptcy""
]",6243
Microsoft Corp,3,Scientific Games Corp,Hub International Ltd,"[
  ""Breach Of Contract""
]",150
Jp Morgan Chase And Co,3,Mylan Nv,Hisamitsu Pharmaceutical Co Ltd,"[
  ""Research""
]",285
Alphabet Inc,3,Abbvie Inc,Icahn Enterprises Lp,"[
  ""Clinical Trial""
]",358728
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Rite Aid Corp,"[
  ""Data Breach""
]",1
Morgan Stanley International Holdings Inc,3,The Carlyle Group Lp,Calgon Carbon Corp,"[
  ""Litigation""
]",6734
Goldman Sachs Group Inc,3,Coty Inc,Ulta Salon Cosmetic,"[
  ""Disruption""
]",20139
Goldman Sachs Group Inc,3,Arbutus Biopharma Cp,Daily Journal Cp,"[
  ""Litigation""
]",80
Jp Morgan Chase And Co,3,22nd Century Group Inc,Vector Group Ltd,"[
  ""Clinical Trial""
]",240
Jp Morgan Chase And Co,3,Georgia Power Co,Liberty All-Star Equity Fund,"[
  ""Breach Of Contract""
]",141976
Goldman Sachs Group Inc,3,Clear Channel Outdoor Holdings,Clear Media Ltd,"[
  ""Investigation""
]",1640
Morgan Stanley International Holdings Inc,3,Exco Resources Inc,Intercontinental Exchange,"[
  ""Litigation""
]",24671340
Goldman Sachs Group Inc,3,Tyson Foods Inc,Blackrock New York Muni Trust Inc,"[
  ""Litigation""
]",79518
Jp Morgan Chase And Co,3,American Airlines Group Inc,Southwest Airlines Company,"[
  ""Litigation""
]",33852
Goldman Sachs Group Inc,2,Intercontinental Exchange,Build A Bear Workshop Inc,"[
  ""Store Closure""
]",1
Coca-Cola Company,3,Penske Automotive Group,Carvana Co,"[
  ""Disruption""
]",4864
Coca-Cola Company,3,Cbs Corp,Entercom Communications Corp,"[
  ""Reorganization""
]",14604
Coca-Cola Company,2,Intercontinental Exchange,Canntrust Holdings Inc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Georgia Power Co,Southern Company,"[
  ""Investigation""
]",4092990
Coca-Cola Company,3,National Health Investors Inc,American Spectrum Realty Inc,"[
  ""Reorganization""
]",380
Coca-Cola Company,2,Citigroup Inc,Universal Display,"[
  ""Research""
]",1
Coca-Cola Company,2,Citigroup Inc,Cincinnati Bell Inc,"[
  ""Fraud""
]",204960
Coca-Cola Company,2,Arca Biopharma Inc,Laboratory Corp Of America Holdings,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",480
Coca-Cola Company,3,Hms Holdings Corp,Guidewire Software Inc,"[
  ""Removal""
]",328
Pepsico Inc,3,Franklin Covey Co,Top Ships Inc,"[
  ""Breach Of Contract""
]",312
Pepsico Inc,3,Phasebio Pharmaceuticals Inc,Cytosorbents Corp,"[
  ""Clinical Trial""
]",1635
Pepsico Inc,3,Nacco Industries Inc,Principal Financial Group Inc,"[
  ""Breach""
]",37014
Pepsico Inc,2,Apollo Global Management Llc,Cec Entertainment Inc,"[
  ""Bankruptcy""
]",1
Pepsico Inc,2,Bank Of America Corp,Kraft Heinz Co,"[
  ""Investigation""
]",1
Microsoft Corp,2,Uber Technologies Inc,London Stock Exchange Group Plc,"[
  ""Investigation""
]",5310
Microsoft Corp,3,Western Union Company,Mesabi Trust,"[
  ""Money Laundering""
]",724
Alphabet Inc,3,Bridgebio Pharma Llc,Spruce Biosciences Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",2
Alphabet Inc,3,Grubhub Inc,Gamestop Corp,"[
  ""Bankruptcy""
]",8340
Alphabet Inc,2,Google,Adobe Inc,"[
  ""Dispute""
]",1
Alphabet Inc,3,Diamond Offshore Drilling,Noble Corp Plc,"[
  ""Bankruptcy""
]",3848
Coca-Cola Company,2,Bank Of America Corp,Boohoocom Plc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Sandridge Energy Inc,Sandridge Mississippian Trust I,"[
  ""Investigation""
]",480
Alphabet Inc,2,Google,Macerich Co,"[
  ""Protest""
]",1
Coca-Cola Company,3,Horizon Pharma Plc,Express Scripts Holding Co,"[
  ""Litigation""
]",10288
Coca-Cola Company,3,Entergy Corp,Entergy Mississippi Inc,"[
  ""Shutdown""
]",12355
Pepsico Inc,3,Tailored Brands Inc,Stage Stores Inc,"[
  ""Bankruptcy""
]",796
Microsoft Corp,3,Interdigital Capital Inc,Lg Electronics Inc,"[
  ""Investigation""
]",4800
Pepsico Inc,3,Anaptysbio Inc,Gossamer Bio Inc,"[
  ""Clinical Trial""
]",1389
Pepsico Inc,3,Ryanair Hldgs Plc,Easyjet Plc,"[
  ""Breach""
]",1812
Microsoft Corp,3,Intel Corp,Finjan Holdings,"[
  ""Dispute""
]",6244
Microsoft Corp,3,Apple Inc,Larsen And Toubro Ltd,"[
  ""Investigation""
]",756
Alphabet Inc,3,Mplx Lp,Antero Midstream Gp Lp,"[
  ""Bankruptcy""
]",18576
Alphabet Inc,3,Jc Penney,Stage Stores Inc,"[
  ""Bankruptcy""
]",556
Alphabet Inc,3,Enbridge Inc,Bandwidth Inc,"[
  ""Removal""
]",464
Jp Morgan Chase And Co,3,Alnylam Pharmaceuticals Inc,Eidos Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",76
Goldman Sachs Group Inc,3,Royal Bank Of Canada,Cytosorbents Corp,"[
  ""Research""
]",3965
Goldman Sachs Group Inc,3,Basf Se,Umicore Sa,"[
  ""Disruption""
]",544
Morgan Stanley International Holdings Inc,3,Danaher Corp,Quidel Cp,"[
  ""Litigation""
]",1122
Morgan Stanley International Holdings Inc,3,Hanesbrands Inc,Levi Strauss And Co,"[
  ""Litigation""
]",30
Alphabet Inc,2,Intercontinental Exchange,World Wrestling Entertainmentinc,"[
  ""Investigation""
]",1
Microsoft Corp,2,Nasdaq Inc,Sterling Bancorp Inc,"[
  ""Breach""
]",1
Microsoft Corp,3,Toyota Motor Corp,Aisin Seiki Co Ltd,"[
  ""Disruption""
]",336
Alphabet Inc,3,Camber Energy Inc,Laureate Education Inc,"[
  ""Breach Of Contract""
]",2632
Jp Morgan Chase And Co,3,Adobe Inc,Equifax Inc,"[
  ""Breach""
]",1983378
Jp Morgan Chase And Co,3,Targa Resources Corp,Targa Resources Partners Lp,"[
  ""Breach""
]",4192
Jp Morgan Chase And Co,2,Visa Inc,Equifax Inc,"[
  ""Data Breach""
]",1945
Goldman Sachs Group Inc,3,Rockwood Holdings Inc,Laporte Bancorp Inc,"[
  ""Investigation""
]",136
Goldman Sachs Group Inc,3,Ecolab Inc,Apergy Corp,"[
  ""Reorganization""
]",21288
Jp Morgan Chase And Co,3,Frontier Communications Corp,Mcdermott Inc,"[
  ""Bankruptcy""
]",71660
Jp Morgan Chase And Co,3,Royal Bank Of Canada,Aurinia Pharm Ord,"[
  ""Research""
]",3936
Jp Morgan Chase And Co,3,Lilly Eli And Co,Eagle Pharmaceuticals Inc,"[
  ""Litigation""
]",5136
Morgan Stanley International Holdings Inc,3,Best Buy Co Inc,Bed Bath And Beyond Inc,"[
  ""Store Closure""
]",567
Goldman Sachs Group Inc,3,Occidental Petroleum Corp,Sanchez Energy Corp,"[
  ""Reorganization""
]",256
Morgan Stanley International Holdings Inc,3,Xylem Inc,Exelis Inc,"[
  ""Breach""
]",69
Morgan Stanley International Holdings Inc,3,Equifax Inc,Domino's Pizza Inc,"[
  ""Data Breach""
]",1945
Morgan Stanley International Holdings Inc,3,Best Buy Co Inc,Five Below Inc,"[
  ""Store Closure""
]",1760
Goldman Sachs Group Inc,2,Intercontinental Exchange,Dxc Technology Company,"[
  ""Ransomware Attack""
]",1
Goldman Sachs Group Inc,3,Lilis Energy Inc,Ccur Holdings Inc,"[
  ""Removal""
]",1008
Jp Morgan Chase And Co,2,Intercontinental Exchange,Yrc Worldwide,"[
  ""Bankruptcy""
]",1
Microsoft Corp,3,Horizon Pharma Plc,Health Sciences Acquisitions Corp,"[
  ""Clinical Trial""
]",606
Coca-Cola Company,3,Amazon Com Inc,Mongodb Inc,"[
  ""Data Breach""
]",570
Goldman Sachs Group Inc,3,22nd Century Group Inc,Vector Group Ltd,"[
  ""Clinical Trial""
]",288
Goldman Sachs Group Inc,3,Wandt Offshore Inc,Axa Sa,"[
  ""Removal""
]",1092
Alphabet Inc,2,Google,Virtusa Corp,"[
  ""Disruption""
]",1
Alphabet Inc,3,Advanced Micro Devices Inc,Allegheny Technologies Inc,"[
  ""Litigation""
]",9495
Coca-Cola Company,3,Catchmark Timber Trust Inc,Tigenix Nv,"[
  ""Breach""
]",138
Coca-Cola Company,3,Cypress Semiconductor Corp /De/,Pool Corp,"[
  ""Disruption""
]",25320
Coca-Cola Company,3,New York And Company,Stein Mart Inc,"[
  ""Bankruptcy""
]",880
Coca-Cola Company,3,Terraform Power Inc,Sunedison Inc,"[
  ""Bankruptcy""
]",81216
Coca-Cola Company,3,Camping World Inc,Thor Industries Inc,"[
  ""Interruption""
]",2704
Coca-Cola Company,3,Chemocentryx Inc,Advantage Oil And Gas Ltd,"[
  ""Clinical Trial""
]",750
Coca-Cola Company,3,Enterprise Products Partners L P,Wood Group John Plc,"[
  ""Breach"",
  ""Breach Of Contract""
]",4525
Coca-Cola Company,3,Global Brokerage Inc,Simmons First National Corp,"[
  ""Breach""
]",1957
Pepsico Inc,3,Aveva Group Plc,Aspen Technology,"[
  ""Investigation""
]",968
Pepsico Inc,3,Pbf Holding Co Llc,Five Oaks Investment Corp,"[
  ""Bankruptcy""
]",12032
Pepsico Inc,3,Meritage Homes Corp,Toll Brothers Inc,"[
  ""Breach Of Contract""
]",11760
Alphabet Inc,3,Entergy Corp,Entergy Arkansas Inc,"[
  ""Litigation""
]",790
Microsoft Corp,3,Dime Community Bancshares Inc,Bridge Bancorp Inc,"[
  ""Litigation""
]",6078
Alphabet Inc,3,Forescout Technologies Inc,Dynegy Inc,"[
  ""Ddos Attack""
]",6
Alphabet Inc,3,Booz Allen Hamilton Holding Corp,Echo Global Logistics Inc,"[
  ""Fraud"",
  ""Fraud""
]",144
Alphabet Inc,3,Arbor Realty Trust,Extended Stay America Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy"",
  ""Bankruptcy"",
  ""Bankruptcy"",
  ""Bankruptcy""
]",2009
Alphabet Inc,3,Canadian Pacific Railway Ltd/Cn,Just Energy Group Inc,"[
  ""Bankruptcy""
]",288
Alphabet Inc,3,Firstenergy Corp,Mariner Energy Inc,"[
  ""Litigation""
]",2268
Alphabet Inc,3,Ziopharm Oncology Inc,Northwest Biotherapeutics Inc,"[
  ""Clinical Trial""
]",70
Alphabet Inc,3,Zomedica Pharmaceuticals Corp,Qorvo Inc,"[
  ""Litigation""
]",6425
Alphabet Inc,2,Google,Globant Sa,"[
  ""Disruption""
]",1
Pepsico Inc,3,Oge Energy Corp,Centerpoint Energy Inc,"[
  ""Downgrade""
]",167209
Coca-Cola Company,3,Target Corp,Rite Aid Corp,"[
  ""Bankruptcy Protection""
]",308028
Alphabet Inc,3,Alnylam Pharmaceuticals Inc,Eidos Therapeutics Inc,"[
  ""Clinical Trial""
]",60
Coca-Cola Company,3,Alnylam Pharmaceuticals Inc,Eidos Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",225
Coca-Cola Company,2,Intercontinental Exchange,Mvc Capital Inc,"[
  ""Breach""
]",1
Coca-Cola Company,3,Greenbrier Companies Inc,Acadia Healthcare Company Inc,"[
  ""Litigation""
]",6093
Microsoft Corp,3,Twitter Inc,Graham Corp,"[
  ""Sanctions""
]",514
Coca-Cola Company,3,Mandt Bank Corp,People's United Financial Inc,"[
  ""Litigation""
]",876960
Pepsico Inc,2,Intercontinental Exchange,Kirby Corp,"[
  ""Investigation""
]",1
Microsoft Corp,3,Momenta Pharmaceuticals Inc,Amphastar Pharmaceuticals Inc,"[
  ""Dispute""
]",522
Microsoft Corp,3,Synnex Corp,Concentrix Cvg Corp,"[
  ""Litigation""
]",1184
Pepsico Inc,2,Alexander And Baldwin Inc,Torchmark Corp,"[
  ""Breach""
]",384
Coca-Cola Company,3,Biolife Solutions Inc,Cellular Biomedicine Group Inc,"[
  ""Clinical Trial""
]",16
Pepsico Inc,3,Intrepid Potash Inc,Turning Point Brands,"[
  ""Litigation""
]",5574
Alphabet Inc,3,Las Vegas Sands Corp,Galaxy Entertainment Group Ltd,"[
  ""Litigation"",
  ""Litigation""
]",532
Jp Morgan Chase And Co,3,Mplx Lp,Plains All American Pipeline Lp,"[
  ""Bankruptcy""
]",26394
Jp Morgan Chase And Co,3,Luckin Coffee Inc,Gsx Techedu Inc,"[
  ""Fraud""
]",13948
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Microsoft Corp,"[
  ""Sanctions""
]",181
Pepsico Inc,2,Nasdaq Inc,Cryoport Inc,"[
  ""Clinical Trial""
]",1
Alphabet Inc,3,Lightbridge Corp,Quanta Services Inc,"[
  ""Sanctions""
]",14180
Alphabet Inc,3,Rpc Inc,Rpc Group Plc,"[
  ""Litigation""
]",1281
Jp Morgan Chase And Co,3,Alliancebernstein Lp,Viela Bio Inc,"[
  ""Research""
]",496
Jp Morgan Chase And Co,3,Horizon Pharma Plc,Depomed Inc,"[
  ""Litigation""
]",6960
Jp Morgan Chase And Co,3,Cit Group Inc,Landauer Inc,"[
  ""Litigation""
]",730
Pepsico Inc,3,Pdl Biopharma Inc,Btg Plc,"[
  ""Litigation""
]",620
Goldman Sachs Group Inc,3,Gilead Sciences Inc,Galmed Pharmaceuticals Ltd,"[
  ""Clinical Trial""
]",585
Microsoft Corp,3,Aes Corp,Ackermans And Van Haaren Nv,"[
  ""Breach""
]",72966
Alphabet Inc,2,Nasdaq Inc,Titan Medical Inc,"[
  ""Research""
]",1
Alphabet Inc,2,Abbvie Inc,Aurobindo Pharma Ltd,"[
  ""Litigation""
]",112
Jp Morgan Chase And Co,3,Oncobiologics Inc,Opthea Limited,"[
  ""Clinical Trial""
]",32
Jp Morgan Chase And Co,3,Nasdaq Inc,Cue Biopharma Inc,"[
  ""Clinical Trial""
]",120
Goldman Sachs Group Inc,3,Southern Company,Canadian Solar Inc,"[
  ""Breach Of Contract""
]",13600
Jp Morgan Chase And Co,3,Adobe Inc,Ingram Micro Inc,"[
  ""Disruption""
]",7614
Goldman Sachs Group Inc,3,Argan Inc,Exelon Corp,"[
  ""Breach Of Contract""
]",23736
Goldman Sachs Group Inc,3,National Health Investors Inc,Welltower Inc,"[
  ""Litigation""
]",312320
Jp Morgan Chase And Co,3,Assured Guaranty Ltd,Franklin Financial Network Inc,"[
  ""Breach Of Contract""
]",120106
Jp Morgan Chase And Co,3,Servicenow Inc,Bmc Software Inc,"[
  ""Litigation""
]",319
Morgan Stanley International Holdings Inc,3,Pfenex Inc,Jazz Pharmaceuticals Plc,"[
  ""Clinical Trial""
]",3705
Goldman Sachs Group Inc,3,Macquarie Group,Compugen Ltd,"[
  ""Research""
]",15990
Goldman Sachs Group Inc,3,Citigroup Inc,Australia And New Zealand Bank,"[
  ""Investigation""
]",104364
Morgan Stanley International Holdings Inc,3,Iheartmedia Inc,Wsfs Financial Corp,"[
  ""Reorganization""
]",92
Morgan Stanley International Holdings Inc,3,Merck Kgaa,Crispr Therapeutics Inc,"[
  ""Disruption""
]",236
Goldman Sachs Group Inc,3,Fibrogen Inc,China Medical System Holdings Ltd,"[
  ""Clinical Trial""
]",100
Goldman Sachs Group Inc,3,Albireo Pharma Inc,Mirum Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",9
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Jiayin Group Inc,"[
  ""Investigation""
]",1008
Coca-Cola Company,3,Albireo Pharma Inc,Mirum Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",24
Coca-Cola Company,3,Hms Holdings Corp,Performant Financial Corp,"[
  ""Fraud"",
  ""Fraud""
]",24
Coca-Cola Company,3,Thomson Reuters Corp,Jbs S/A,"[
  ""Removal""
]",88176
Coca-Cola Company,3,Mcdermott Inc,Brookfield Dtla Fund Office Trust Investor Inc,"[
  ""Bankruptcy""
]",40
Pepsico Inc,2,Walmart Inc,Goodyear Tire And Rubber Co /Oh/,"[
  ""Sanctions""
]",397
Pepsico Inc,3,Gap Inc,Inditex Sa,"[
  ""Investigation""
]",320
Coca-Cola Company,3,Nanoviricides Inc,Alcon Inc,"[
  ""Clinical Trial""
]",72
Pepsico Inc,3,Mastercard Inc,Wirecard Ag,"[
  ""Fraud""
]",507472
Pepsico Inc,3,Omega Healthcare Investors Inc,Senior Housing Properties Trust,"[
  ""Fraud""
]",1914
Pepsico Inc,3,Omega Healthcare Investors Inc,National Health Realty Inc,"[
  ""Fraud""
]",100
Pepsico Inc,3,Thomson Reuters Corp,Zalando Se,"[
  ""Investigation""
]",1216
Alphabet Inc,3,Airbus,Pt Bnk Cent Asia,"[
  ""Investigation""
]",885
Alphabet Inc,3,Intercontinental Exchange,Celadon Group Inc,"[
  ""Bankruptcy Protection""
]",1620
Microsoft Corp,3,The Travelers Companies Inc,Tpc Group Inc,"[
  ""Bankruptcy""
]",3382
Alphabet Inc,3,Lantheus Holdings,Molecular Insight Pharmaceuticals Inc,"[
  ""Dispute""
]",72
Microsoft Corp,2,Apple Inc,Ericsson Inc,"[
  ""Investigation""
]",1
Alphabet Inc,2,Nasdaq Inc,Grand Canyon Education Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Taubman Centers,Westfield Group,"[
  ""Breach"",
  ""Breach""
]",196
Coca-Cola Company,3,Agile Therapeutics Inc,Badger Meter Inc,"[
  ""Clinical Trial""
]",4632
Alphabet Inc,2,Intercontinental Exchange,Energy Transfer Lp  1,"[
  ""Investigation""
]",1
Coca-Cola Company,2,Broadcom Ltd,Rambus Inc,"[
  ""Investigation""
]",225
Coca-Cola Company,3,Anadarko Petroleum Corp,Whiting Petroleum Corp,"[
  ""Bankruptcy""
]",24460
Coca-Cola Company,3,Twilio Inc,Sendgrid Inc,"[
  ""Reorganization"",
  ""Litigation""
]",1743
Coca-Cola Company,3,Emergent Biosolutions,Opiant Pharmaceuticals Inc,"[
  ""Litigation""
]",24
Microsoft Corp,2,Intercontinental Exchange,Brookdale Senior Living Inc,"[
  ""Litigation""
]",1
Pepsico Inc,3,Ford Motor Company,Metro Inc,"[
  ""Legal Dispute""
]",67730
Pepsico Inc,2,Morgan Stanley International Holdings Inc,Us Bancorp,"[
  ""Breach Of Contract""
]",103351
Pepsico Inc,3,Dsw Inc,Trina Solar Ltd,"[
  ""Disruption""
]",4342
Coca-Cola Company,3,Eastman Chemical Company,Monsanto Co /New/,"[
  ""Bankruptcy""
]",1500
Microsoft Corp,3,Adobe Inc,Best Buy Co Inc,"[
  ""Disruption""
]",652592
Microsoft Corp,3,Sk Hynix Inc,Micron Technology Inc,"[
  ""Investigation""
]",102894
Microsoft Corp,3,Sprint Corp,Clearwire Corp /De,"[
  ""Breach""
]",3888
Microsoft Corp,3,Intercontinental Exchange,58com Inc,"[
  ""Breach""
]",6105
Microsoft Corp,3,Ultra Petroleum Corp,Lattice Semiconductor Corp,"[
  ""Breach""
]",256
Pepsico Inc,3,Markel Corp,Pfo Global Inc,"[
  ""Fraud""
]",1146
Alphabet Inc,3,Ligand Pharmaceuticals Inc,Verona Pharma Plc,"[
  ""Clinical Trial""
]",1252
Microsoft Corp,3,Georgia Power Co,Canadian Solar Inc,"[
  ""Breach Of Contract""
]",836
Microsoft Corp,3,International Business Machines Corp,Aspen Technology,"[
  ""Investigation""
]",888
Microsoft Corp,3,Twist Bioscience Corp,Agilent Technologies Inc,"[
  ""Litigation""
]",1323
Alphabet Inc,3,Calithera Biosciences Inc,Incyte Corp,"[
  ""Clinical Trial""
]",38941
Jp Morgan Chase And Co,3,Sabre Corp,Pinnacle Airlines Corp,"[
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection""
]",21
Jp Morgan Chase And Co,3,Occidental Petroleum Corp,Sanchez Energy Corp,"[
  ""Reorganization""
]",224
Pepsico Inc,3,International Business Machines Corp,Seagate Technology Plc,"[
  ""Disruption""
]",37730
Jp Morgan Chase And Co,2,Intercontinental Exchange,Taro Pharmaceutical Industries Ltd,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,2,Huntsman Corp,Albemarle Corp,"[
  ""Breach Of Contract"",
  ""Breach Of Contract"",
  ""Fraud"",
  ""Breach Of Contract"",
  ""Fraud"",
  ""Breach Of Contract""
]",2028
Goldman Sachs Group Inc,3,Nasdaq Inc,Universal Logistics Holdings Inc,"[
  ""Shutdown""
]",124
Pepsico Inc,3,Dsw Inc,Alleghany Corp,"[
  ""Breach""
]",196
Microsoft Corp,3,Neogenomics Inc,Health Discovery Corp,"[
  ""Litigation"",
  ""Litigation""
]",1434
Microsoft Corp,3,Aci Worldwide Inc,Focus Financial Partners Inc,"[
  ""Fraud""
]",3525
Microsoft Corp,3,Microsoft Corp,Quantum Computing Inc,"[
  ""Investigation""
]",276
Alphabet Inc,3,State Street Corp,Endurance International Group Holdings Inc,"[
  ""Investigation""
]",192
Jp Morgan Chase And Co,3,Commerzbank Ag,Wirecard Ag,"[
  ""Fraud""
]",579704
Jp Morgan Chase And Co,3,Royal Bank Of Canada,Cytosorbents Corp,"[
  ""Research""
]",3095
Goldman Sachs Group Inc,3,Venator Materials Plc,Sika Ag,"[
  ""Removal""
]",304
Microsoft Corp,2,Intercontinental Exchange,Gnc Holdings Inc,"[
  ""Fraud""
]",1
Microsoft Corp,2,Apple Inc,Kraft Heinz Co,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Tcf Financial Corp,Visa Inc,"[
  ""Litigation""
]",6830989
Alphabet Inc,2,Google,Dropbox Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Pfenex Inc,Sunworks Inc,"[
  ""Breach""
]",104156
Jp Morgan Chase And Co,3,Fidelity National Financial,Remy International Inc,"[
  ""Breach Of Contract""
]",176
Jp Morgan Chase And Co,3,Moodys Corp /De/,Korea Electric Power Corp,"[
  ""Disruption""
]",1312
Goldman Sachs Group Inc,2,Intercontinental Exchange,Bankunited Inc,"[
  ""Litigation""
]",1
Jp Morgan Chase And Co,2,Visa Inc,Yrc Worldwide,"[
  ""Investigation""
]",1776
Jp Morgan Chase And Co,2,Intercontinental Exchange,Softbank Group Corp,"[
  ""Investigation""
]",1
